"","Total_Electric_Vehicles","Total_Charging_Stations","CS_to_EV_Ratio_Percent","Does_CS_Exist","Zip_Code","City","County","fips","state"
"424",2,0,0,FALSE,99113,"Colton","Whitman",53075,"WA"
"425",38,3,7.89,TRUE,99114,"Colville","Stevens",53065,"WA"
"426",9,1,11.11,TRUE,99115,"Coulee city","Grant",53025,"WA"
"427",2,1,50,TRUE,99116,"Coulee dam","Okanogan",53047,"WA"
"428",7,0,0,FALSE,99118,"Curlew","Ferry",53019,"WA"
"429",1,0,0,FALSE,99119,"Cusick","Pend Oreille",53051,"WA"
"430",1,0,0,FALSE,99121,"Danville","Ferry",53019,"WA"
"431",10,1,10,TRUE,99122,"Davenport","Lincoln",53043,"WA"
"432",3,0,0,FALSE,99123,"Electric city","Grant",53025,"WA"
"433",2,0,0,FALSE,99125,"Endicott","Whitman",53075,"WA"
"434",5,0,0,FALSE,99126,"Evans","Stevens",53065,"WA"
"435",2,0,0,FALSE,99129,"Fruitland","Stevens",53065,"WA"
"436",2,0,0,FALSE,99130,"Garfield","Whitman",53075,"WA"
"437",1,0,0,FALSE,99131,"Gifford","Stevens",53065,"WA"
"438",4,0,0,FALSE,99133,"Grand coulee","Grant",53025,"WA"
"439",3,0,0,FALSE,99134,"Harrington","Lincoln",53043,"WA"
"440",1,0,0,FALSE,99135,"Hartline","Grant",53025,"WA"
"441",1,0,0,FALSE,99137,"Hunters","Stevens",53065,"WA"
"442",1,0,0,FALSE,99138,"Inchelium","Ferry",53019,"WA"
"443",17,1,5.88,TRUE,99141,"Kettle falls","Stevens",53065,"WA"
"444",13,0,0,FALSE,99148,"Loon lake","Stevens",53065,"WA"
"445",1,0,0,FALSE,99155,"Nespelem","Okanogan",53047,"WA"
"446",33,1,3.03,TRUE,99156,"Newport","Pend Oreille",53051,"WA"
"447",2,0,0,FALSE,99159,"Odessa","Lincoln",53043,"WA"
"448",11,0,0,FALSE,99161,"Palouse","Whitman",53075,"WA"
"449",163,11,6.75,TRUE,99163,"Pullman","Whitman",53075,"WA"
"450",7,0,0,FALSE,99166,"Republic","Ferry",53019,"WA"
"451",5,0,0,FALSE,99167,"Rice","Stevens",53065,"WA"
"452",13,3,23.08,TRUE,99169,"Ritzville","Adams",53001,"WA"
"453",9,2,22.22,TRUE,99170,"Rosalia","Whitman",53075,"WA"
"454",2,0,0,FALSE,99171,"Saint john","Whitman",53075,"WA"
"455",1,0,0,FALSE,99173,"Springdale","Stevens",53065,"WA"
"456",1,0,0,FALSE,99179,"Uniontown","Whitman",53075,"WA"
"457",3,0,0,FALSE,99180,"Usk","Pend Oreille",53051,"WA"
"458",8,0,0,FALSE,99181,"Valley","Stevens",53065,"WA"
"459",4,0,0,FALSE,99185,"Wilbur","Lincoln",53043,"WA"
"460",96,17,17.71,TRUE,99201,"Spokane","Spokane",53063,"WA"
"461",88,10,11.36,TRUE,99202,"Spokane","Spokane",53063,"WA"
"462",271,0,0,FALSE,99203,"Spokane","Spokane",53063,"WA"
"463",49,1,2.04,TRUE,99204,"Spokane","Spokane",53063,"WA"
